ikea-com.mail.protection.outlook.com.               104.47.0.36
es-mx-jobs.about.ikea.com                           2.16.110.17
estore.ikea.com                                     176.119.40.171
et-int-jobs.about.ikea.com                          23.53.42.169
et-jobs.about.ikea.com                              23.53.42.209
eu.centiro.ikea.com                                 193.228.157.170
eu.ikea.com                                         23.214.4.84
eu-m.ikea.com                                       23.214.4.84
eu-securem.ikea.com                                 23.214.4.84
evcsplunkexternal.ikea.com                          192.71.69.73
events.ikea.com                                     23.214.21.71
everyday.ikea.com                                   74.114.154.18
family.email.ikea.com                               216.87.148.114
fi.accounts.ikea.com                                23.214.25.95
fi-int-jobs.about.ikea.com                          23.53.42.114
fi-jobs.about.ikea.com                              23.53.42.107
fin.b2b.ikea.com                                    192.71.68.147
food.inter.ikea.com                                 52.211.71.69
foodsupply.ikea.com                                 34.253.254.14
formularios.ikea.com                                185.31.159.62
fr.accounts.ikea.com                                23.214.25.95
franchisor.ikea.com                                 54.68.182.72
fr.ikea.com                                         23.214.4.84
fr-int-jobs.about.ikea.com                          23.53.42.147
fr-jobs.about.ikea.com                              23.53.42.121
ftp-eu.centiro.ikea.com                             193.228.157.173
ftp.freerange.ikea.com                              78.41.244.248
ftp.ikea.com                                        192.71.68.102
ftps.centiro.ikea.com                               193.228.157.176
fundament-dt.ikea.com                               40.68.205.178
fundament.ikea.com                                  52.232.56.79
gate.ikea.com                                       192.71.68.101
gatekeeper.ikea.com                                 192.71.68.102
gb.accounts.ikea.com                                23.214.25.95
gbinincontact.ikea.com                              23.214.21.71
gcp.api.ingka.ikea.com                              35.190.49.0
gcp-qa.api.ingka.ikea.com                           35.201.102.242
gestaodocumental.ikea.com                           185.31.159.62
giftcards.au.ikea.com                               23.214.4.84
git.build.ingka.ikea.com                            52.211.36.229
git.build.inter.ikea.com                            35.205.239.71
git-test.build.ingka.ikea.com                       34.91.230.162
git-test.build.inter.ikea.com                       34.77.228.154
hackathon.ikea.com                                  107.178.254.45
help.apps.ikea.com                                  192.165.176.2
helpme.ikea.com                                     192.176.232.178
